"CMPLNT_NUM","CMPLNT_FR_DT","CMPLNT_FR_TM","CMPLNT_TO_DT","CMPLNT_TO_TM","RPT_DT","LAW_CAT_CD","BORO_NM","Latitude","Longitude"
276411617,"3/20/15",16:00:00,"12/31/15",11:00:00,"12/31/15","MISDEMEANOR","BRONX",40.87457816,-73.84109969
232872411,"3/1/15",12:00:00,"12/16/15",17:30:00,"12/16/15","MISDEMEANOR","BRONX",40.88263546,-73.88394159
980170450,"3/2/15",22:45:00,"3/24/15",19:26:00,"12/15/15","FELONY","BRONX",40.81608887,-73.91768869
843750806,"3/26/15",15:00:00,"10/25/15",16:00:00,"12/13/15","FELONY","BRONX",40.8327088,-73.84806563
619104654,"3/19/15",09:00:00,"6/14/15",09:00:00,"12/8/15","FELONY","BRONX",40.8327088,-73.84806563
300220535,"3/11/15",12:30:00,NA,NA,"12/7/15","FELONY","BRONX",40.81671845,-73.91166179
575783828,"3/19/15",07:00:00,"12/3/15",13:00:00,"12/3/15","MISDEMEANOR","BRONX",40.88312524,-73.87977465
983498613,"3/31/15",14:00:00,"11/5/15",10:00:00,"11/22/15","FELONY","BRONX",40.8223244,-73.92502999
297210335,"3/25/15",11:31:00,"3/25/15",12:16:00,"11/13/15","MISDEMEANOR","BRONX",40.86607576,-73.89437579
436181684,"3/24/15",12:29:00,"3/24/15",12:59:00,"11/13/15","MISDEMEANOR","BRONX",40.86607576,-73.89437579
822853454,"3/14/15",16:24:00,"3/14/15",16:43:00,"11/13/15","FELONY","BRONX",40.86607576,-73.89437579
689460947,"3/1/15",20:50:00,"3/1/15",20:55:00,"11/10/15","FELONY","BRONX",40.79115187,-73.88437192
690547343,"3/24/15",17:25:00,"3/24/15",17:30:00,"11/5/15","FELONY","BRONX",40.79115187,-73.88437192
161296923,"3/11/15",14:30:00,"11/1/15",17:30:00,"11/4/15","FELONY","BRONX",40.8210387,-73.85480887
731003657,"3/16/15",12:33:00,NA,NA,"11/2/15","FELONY","BRONX",40.81608887,-73.91768869
536200619,"3/5/15",14:30:00,NA,NA,"10/28/15","MISDEMEANOR","BRONX",40.84722099,-73.91990919
725953730,"3/25/15",17:00:00,NA,NA,"10/27/15","FELONY","BRONX",40.831722,-73.89939179
501915257,"3/30/15",09:00:00,"10/22/15",10:22:00,"10/22/15","MISDEMEANOR","BRONX",40.85673749,-73.88221184
