"CMPLNT_NUM","CMPLNT_FR_DT","CMPLNT_FR_TM","CMPLNT_TO_DT","CMPLNT_TO_TM","RPT_DT","LAW_CAT_CD","BORO_NM","Latitude","Longitude"
344425268,"2/28/15",19:32:00,NA,NA,"2/28/15","FELONY","BROOKLYN",40.69139687,-73.93822006
889870843,"2/28/15",23:35:00,"2/28/15",23:40:00,"2/28/15","MISDEMEANOR","BROOKLYN",40.64192587,-73.95152966
593745467,"2/28/15",23:14:00,"2/28/15",23:19:00,"2/28/15","FELONY","BROOKLYN",40.63955064,-74.00714296
836791303,"2/28/15",23:14:00,"2/28/15",23:19:00,"2/28/15","MISDEMEANOR","BROOKLYN",40.63955064,-74.00714296
553688585,"2/28/15",23:10:00,NA,NA,"2/28/15","FELONY","BROOKLYN",40.67878526,-73.88533107
233209039,"2/28/15",23:05:00,"2/28/15",23:08:00,"2/28/15","FELONY","BROOKLYN",40.72510585,-73.95757358
270779723,"2/28/15",23:00:00,"2/28/15",23:05:00,"2/28/15","MISDEMEANOR","BROOKLYN",40.60926445,-73.95546826
220977337,"2/28/15",23:00:00,"2/28/15",23:20:00,"2/28/15","MISDEMEANOR","BROOKLYN",40.64446609,-73.90854223
539082557,"2/28/15",22:34:00,NA,NA,"2/28/15","VIOLATION","BROOKLYN",40.66051961,-73.88345217
865280503,"2/28/15",22:10:00,"2/28/15",22:15:00,"2/28/15","FELONY","BROOKLYN",40.5908736,-73.98415178
171765922,"2/28/15",21:52:00,"2/28/15",22:15:00,"2/28/15","FELONY","BROOKLYN",40.62911981,-73.94782826
461906991,"2/28/15",21:35:00,"2/28/15",21:43:00,"2/28/15","MISDEMEANOR","BROOKLYN",40.67687695,-74.00664223
900989318,"2/28/15",21:35:00,"2/28/15",21:36:00,"2/28/15","MISDEMEANOR","BROOKLYN",40.66167041,-73.9236102
802851447,"2/28/15",21:30:00,"2/28/15",21:35:00,"2/28/15","FELONY","BROOKLYN",40.63941656,-73.95698309
253060256,"2/28/15",21:25:00,"2/28/15",21:31:00,"2/28/15","MISDEMEANOR","BROOKLYN",40.68372805,-74.0033366
279093151,"2/28/15",21:20:00,"2/28/15",21:26:00,"2/28/15","MISDEMEANOR","BROOKLYN",40.67687695,-74.00664223
