"CMPLNT_NUM","CMPLNT_FR_DT","CMPLNT_FR_TM","CMPLNT_TO_DT","CMPLNT_TO_TM","RPT_DT","LAW_CAT_CD","BORO_NM","Latitude","Longitude"
784751273,"7/17/15",00:01:00,"7/24/15",23:59:00,"12/31/15","FELONY","MANHATTAN",40.77855547,-73.98356551
204441478,"7/21/15",13:28:00,"12/29/15",22:00:00,"12/30/15","VIOLATION","MANHATTAN",40.75931319,-73.99570956
900372270,"7/19/15",11:00:00,NA,NA,"12/28/15","FELONY","MANHATTAN",40.79095658,-73.94220131
584094008,"7/17/15",17:00:00,NA,NA,"12/22/15","FELONY","MANHATTAN",40.71634415,-74.00125319
369585751,"7/24/15",12:00:00,NA,NA,"12/21/15","MISDEMEANOR","MANHATTAN",40.70237824,-74.01133693
567357112,"7/1/15",00:10:00,"12/17/15",23:33:00,"12/18/15","MISDEMEANOR","MANHATTAN",40.7593104,-73.99470607
788064849,"7/8/15",00:01:00,"12/15/15",11:59:00,"12/16/15","FELONY","MANHATTAN",40.71728287,-74.00054616
521452247,"7/7/15",12:00:00,"8/18/15",15:00:00,"12/16/15","FELONY","MANHATTAN",40.86875669,-73.92102578
393386224,"7/31/15",10:00:00,"10/31/15",15:00:00,"12/15/15","FELONY","MANHATTAN",40.78279723,-73.94962165
810279951,"7/20/15",02:03:00,"11/24/15",23:01:00,"12/10/15","VIOLATION","MANHATTAN",40.71892916,-74.01134696
264103362,"7/3/15",10:00:00,"12/7/15",12:00:00,"12/8/15","FELONY","MANHATTAN",40.81847301,-73.94330463
496524253,"7/15/15",12:00:00,"12/3/15",14:30:00,"12/3/15","MISDEMEANOR","MANHATTAN",40.77011044,-73.98784213
848277761,"7/11/15",18:44:00,"7/11/15",19:00:00,"12/3/15","FELONY","MANHATTAN",40.80203233,-73.94968295
772688308,"7/8/15",15:00:00,"12/1/15",10:30:00,"12/1/15","FELONY","MANHATTAN",40.71634415,-74.00125319
321689521,"7/17/15",20:00:00,NA,NA,"11/30/15","FELONY","MANHATTAN",40.7677942,-73.99138769
821371058,"7/17/15",12:50:00,"11/24/15",19:35:00,"11/30/15","MISDEMEANOR","MANHATTAN",40.73555989,-73.99146403
141377812,"7/10/15",00:01:00,"10/5/15",23:59:00,"11/30/15","FELONY","MANHATTAN",40.73876828,-73.98879329
554526316,"7/27/15",20:23:00,"7/27/15",20:30:00,"11/28/15","FELONY","MANHATTAN",40.7114817,-73.98147552
164598871,"7/20/15",06:00:00,"7/20/15",07:00:00,"11/25/15","FELONY","MANHATTAN",40.76105888,-73.99675989
304036579,"7/10/15",09:00:00,NA,NA,"11/25/15","FELONY","MANHATTAN",40.71138986,-74.00010605
660993338,"7/15/15",21:00:00,"7/16/15",22:00:00,"11/23/15","FELONY","MANHATTAN",40.74912119,-73.98616772
375166849,"7/28/15",13:00:00,"11/18/15",20:15:00,"11/18/15","FELONY","MANHATTAN",40.83061031,-73.94957461
594133975,"7/19/15",14:20:00,"7/19/15",16:40:00,"11/18/15","MISDEMEANOR","MANHATTAN",40.80276251,-73.93357278
554299391,"7/3/15",11:00:00,"7/3/15",11:30:00,"11/18/15","FELONY","MANHATTAN",40.75121169,-73.97946496
891154844,"7/10/15",12:48:00,NA,NA,"11/16/15","MISDEMEANOR","MANHATTAN",40.73237227,-73.98286248
821277319,"7/8/15",12:02:00,NA,NA,"11/13/15","FELONY","MANHATTAN",40.86475888,-73.92282738
397089889,"7/1/15",15:00:00,NA,NA,"11/13/15","FELONY","MANHATTAN",40.72958209,-74.00292758
175904130,"7/18/15",00:00:00,NA,NA,"11/12/15","VIOLATION","MANHATTAN",40.82359434,-73.94267881
946950335,"7/20/15",09:00:00,"9/13/15",17:00:00,"11/11/15","FELONY","MANHATTAN",40.78669518,-73.97673121
387461733,"7/28/15",11:00:00,"11/8/15",11:45:00,"11/9/15","FELONY","MANHATTAN",40.81194462,-73.95941842
198651618,"7/9/15",09:00:00,"11/9/15",11:15:00,"11/9/15","MISDEMEANOR","MANHATTAN",40.71859478,-74.00426186
343883376,"7/29/15",16:58:00,"11/5/15",12:00:00,"11/6/15","FELONY","MANHATTAN",40.77011242,-73.98200797
631205584,"7/18/15",00:01:00,"7/19/15",13:00:00,"11/6/15","FELONY","MANHATTAN",40.8150657,-73.93594849
943224434,"7/12/15",18:30:00,NA,NA,"11/5/15","FELONY","MANHATTAN",40.75316343,-73.96832957
601505532,"7/26/15",17:00:00,"11/1/15",10:00:00,"11/4/15","FELONY","MANHATTAN",40.77509532,-73.94921227
364970732,"7/2/15",15:00:00,"11/3/15",15:00:00,"11/4/15","FELONY","MANHATTAN",40.74673756,-73.97843778
395672256,"7/20/15",17:28:00,"7/20/15",17:35:00,"11/3/15","FELONY","MANHATTAN",40.73830187,-73.97333444
828585612,"7/5/15",15:00:00,NA,NA,"11/3/15","VIOLATION","MANHATTAN",40.79861625,-73.95227519
734663664,"7/1/15",12:00:00,NA,NA,"11/3/15","MISDEMEANOR","MANHATTAN",40.74290346,-73.98018566
479495663,"7/1/15",00:01:00,"10/26/15",20:00:00,"11/2/15","FELONY","MANHATTAN",40.79287444,-73.940802
662652252,"7/10/15",05:40:00,"7/10/15",05:41:00,"10/30/15","FELONY","MANHATTAN",40.75724053,-73.98979364
453364192,"7/6/15",10:00:00,"10/3/15",14:55:00,"10/30/15","FELONY","MANHATTAN",40.8654575,-73.92093932
102924702,"7/30/15",08:00:00,"9/16/15",12:00:00,"10/29/15","FELONY","MANHATTAN",40.71164496,-73.99380809
735814452,"7/30/15",08:00:00,"10/29/15",16:00:00,"10/29/15","MISDEMEANOR","MANHATTAN",40.73283043,-73.98149123
820945281,"7/17/15",15:00:00,NA,NA,"10/29/15","MISDEMEANOR","MANHATTAN",40.71671694,-73.98915773
106341356,"7/26/15",04:14:00,NA,NA,"10/27/15","MISDEMEANOR","MANHATTAN",40.79372304,-73.97061443
306298416,"7/9/15",13:44:00,"10/12/15",12:22:00,"10/27/15","MISDEMEANOR","MANHATTAN",40.7063278,-74.01288131
347043150,"7/22/15",09:00:00,"7/22/15",14:30:00,"10/26/15","MISDEMEANOR","MANHATTAN",40.80828802,-73.95073663
405649034,"7/18/15",14:30:00,"7/18/15",18:00:00,"10/23/15","VIOLATION","MANHATTAN",40.71856407,-73.98820145
836424949,"7/1/15",11:00:00,"10/21/15",22:00:00,"10/22/15","VIOLATION","MANHATTAN",40.77577283,-73.95475035
119597955,"7/22/15",13:00:00,"7/22/15",14:00:00,"10/21/15","FELONY","MANHATTAN",40.85105042,-73.93876218
858485653,"7/30/15",21:00:00,"10/5/15",15:00:00,"10/20/15","MISDEMEANOR","MANHATTAN",40.73552022,-73.9810683
337182008,"7/4/15",18:00:00,"7/6/15",18:00:00,"10/19/15","FELONY","MANHATTAN",40.76406663,-73.95505792
907331161,"7/3/15",04:00:00,NA,NA,"10/19/15","FELONY","MANHATTAN",40.76414979,-73.95720216
962683354,"7/1/15",12:00:00,"10/19/15",13:45:00,"10/19/15","MISDEMEANOR","MANHATTAN",40.74850681,-73.99058897
387904535,"7/12/15",15:00:00,"10/16/15",15:45:00,"10/16/15","FELONY","MANHATTAN",40.74258107,-73.99304737
521314795,"7/30/15",08:00:00,"10/14/15",10:00:00,"10/15/15","FELONY","MANHATTAN",40.78323949,-73.97640743
685862009,"7/22/15",14:15:00,"7/22/15",14:15:00,"10/15/15","FELONY","MANHATTAN",40.81601121,-73.94968683
888632886,"7/18/15",12:00:00,"7/21/15",01:00:00,"10/15/15","MISDEMEANOR","MANHATTAN",40.81787845,-73.93995242
729779548,"7/1/15",00:00:00,"8/30/15",00:00:00,"10/15/15","MISDEMEANOR","MANHATTAN",40.76502408,-73.98483595
849223204,"7/28/15",12:09:00,"7/28/15",17:55:00,"10/14/15","MISDEMEANOR","MANHATTAN",40.80262031,-73.95108757
493791284,"7/28/15",12:09:00,"7/28/15",17:55:00,"10/14/15","MISDEMEANOR","MANHATTAN",40.80262031,-73.95108757
633802924,"7/16/15",11:00:00,NA,NA,"10/14/15","MISDEMEANOR","MANHATTAN",40.78456213,-73.94377044
502310212,"7/9/15",12:00:00,NA,NA,"10/14/15","FELONY","MANHATTAN",40.74812842,-74.00122853
873876110,"7/5/15",09:20:00,"10/14/15",18:00:00,"10/14/15","VIOLATION","MANHATTAN",40.86446898,-73.9203078
694094483,"7/23/15",12:00:00,"10/3/15",15:00:00,"10/9/15","FELONY","MANHATTAN",40.78335302,-73.98189606
407351761,"7/15/15",14:00:00,"10/9/15",10:00:00,"10/9/15","MISDEMEANOR","MANHATTAN",40.70760732,-74.00773456
993154091,"7/7/15",04:00:00,NA,NA,"10/9/15","MISDEMEANOR","MANHATTAN",40.80374906,-73.95269773
561672802,"7/27/15",08:00:00,"8/26/15",18:00:00,"10/8/15","FELONY","MANHATTAN",40.84883927,-73.93570271
623649779,"7/25/15",15:30:00,"7/25/15",16:15:00,"10/8/15","MISDEMEANOR","MANHATTAN",40.75468486,-73.9867549
402157264,"7/22/15",17:00:00,"8/12/15",23:59:00,"10/8/15","FELONY","MANHATTAN",40.77055693,-73.95252635
670844761,"7/17/15",11:45:00,"10/8/15",11:30:00,"10/8/15","MISDEMEANOR","MANHATTAN",40.81997241,-73.94492196
207747798,"7/11/15",18:14:00,"7/14/15",17:47:00,"10/8/15","FELONY","MANHATTAN",40.75971107,-73.99356177
335562098,"7/1/15",12:00:00,NA,NA,"10/8/15","MISDEMEANOR","MANHATTAN",40.75501298,-73.96688131
290212321,"7/1/15",00:00:00,"8/27/15",00:00:00,"10/8/15","FELONY","MANHATTAN",40.86247103,-73.92901575
358959460,"7/27/15",00:01:00,"7/27/15",19:00:00,"10/7/15","VIOLATION","MANHATTAN",40.81069395,-73.95451347
692232284,"7/23/15",15:00:00,"10/1/15",20:00:00,"10/7/15","VIOLATION","MANHATTAN",40.76704623,-73.95210286
