"CMPLNT_NUM","CMPLNT_FR_DT","CMPLNT_FR_TM","CMPLNT_TO_DT","CMPLNT_TO_TM","RPT_DT","LAW_CAT_CD","BORO_NM","Latitude","Longitude"
524161742,"8/24/15",10:00:00,NA,NA,"12/29/15","MISDEMEANOR","QUEENS",40.67787847,-73.79708301
712861988,"8/15/15",00:00:00,"12/28/15",23:59:00,"12/29/15","FELONY","QUEENS",40.59776205,-73.7607085
630966096,"8/1/15",19:00:00,"12/29/15",19:30:00,"12/29/15","MISDEMEANOR","QUEENS",40.73399536,-73.85529441
616315447,"8/23/15",20:36:00,"12/24/15",16:11:00,"12/26/15","VIOLATION","QUEENS",40.76672659,-73.72904029
318346957,"8/26/15",12:00:00,NA,NA,"12/24/15","MISDEMEANOR","QUEENS",40.71802782,-73.90073222
693360410,"8/21/15",17:39:00,"12/15/15",18:58:00,"12/23/15","FELONY","QUEENS",40.67834057,-73.84747633
762237516,"8/8/15",18:27:00,"12/7/15",12:47:00,"12/23/15","FELONY","QUEENS",40.75243372,-73.91494126
249135317,"8/26/15",00:01:00,"12/16/15",00:01:00,"12/22/15","FELONY","QUEENS",40.76491045,-73.8298744
792420503,"8/1/15",09:00:00,"12/11/15",17:00:00,"12/22/15","FELONY","QUEENS",40.66591845,-73.80768814
122087668,"8/1/15",00:00:00,"11/29/15",00:00:00,"12/21/15","MISDEMEANOR","QUEENS",40.74871017,-73.89616792
262241728,"8/15/15",15:00:00,"12/18/15",12:00:00,"12/18/15","MISDEMEANOR","QUEENS",40.71351111,-73.75996832
185889065,"8/20/15",23:00:00,"12/11/15",16:00:00,"12/16/15","VIOLATION","QUEENS",40.74493514,-73.88363291
251700435,"8/11/15",18:00:00,"8/11/15",18:00:00,"12/14/15","MISDEMEANOR","QUEENS",40.71254636,-73.82108399
957815128,"8/28/15",20:29:00,"10/29/15",13:00:00,"12/12/15","MISDEMEANOR","QUEENS",40.67998074,-73.77623391
785112340,"8/1/15",01:00:00,NA,NA,"12/10/15","MISDEMEANOR","QUEENS",40.66798319,-73.75081752
646077963,"8/1/15",00:00:00,"8/30/15",00:00:00,"12/10/15","MISDEMEANOR","QUEENS",40.67650779,-73.74177989
134194742,"8/28/15",12:00:00,"12/7/15",13:00:00,"12/8/15","FELONY","QUEENS",40.75934028,-73.71420205
975159213,"8/22/15",16:00:00,"8/22/15",16:30:00,"12/8/15","MISDEMEANOR","QUEENS",40.75656759,-73.87593153
297014323,"8/1/15",00:00:00,"12/5/15",18:00:00,"12/5/15","FELONY","QUEENS",40.76015719,-73.76742396
825456985,"8/8/15",08:00:00,NA,NA,"12/4/15","FELONY","QUEENS",40.69179999,-73.74843148
885307738,"8/21/15",12:00:00,"11/24/15",12:00:00,"12/3/15","FELONY","QUEENS",40.7293738,-73.7340378
248885788,"8/18/15",09:00:00,"12/2/15",09:00:00,"12/2/15","FELONY","QUEENS",40.69499588,-73.77826789
536712238,"8/31/15",17:51:00,"10/21/15",06:00:00,"12/1/15","MISDEMEANOR","QUEENS",40.67998074,-73.77623391
113612267,"8/1/15",00:01:00,"10/27/15",16:22:00,"12/1/15","VIOLATION","QUEENS",40.74365488,-73.90985321
112040534,"8/15/15",13:00:00,"11/25/15",14:32:00,"11/30/15","FELONY","QUEENS",40.7010805,-73.88206489
786954476,"8/17/15",12:00:00,"8/21/15",12:00:00,"11/29/15","FELONY","QUEENS",40.76206768,-73.77023295
813946407,"8/1/15",00:01:00,"11/28/15",23:59:00,"11/29/15","MISDEMEANOR","QUEENS",40.57780668,-73.85792591
116980145,"8/4/15",11:00:00,"11/8/15",12:00:00,"11/28/15","FELONY","QUEENS",40.65745684,-73.73010043
611848371,"8/1/15",12:00:00,"11/28/15",09:00:00,"11/28/15","MISDEMEANOR","QUEENS",40.75699457,-73.93956333
652946630,"8/20/15",18:00:00,"8/20/15",18:30:00,"11/25/15","MISDEMEANOR","QUEENS",40.75970024,-73.76813305
638074166,"8/9/15",13:12:00,"11/25/15",20:56:00,"11/25/15","FELONY","QUEENS",40.59048448,-73.81010171
542197108,"8/15/15",09:00:00,"11/22/15",19:00:00,"11/23/15","MISDEMEANOR","QUEENS",40.72000227,-73.84052666
564203381,"8/13/15",21:00:00,"8/13/15",22:00:00,"11/23/15","FELONY","QUEENS",40.71850742,-73.73530409
685624160,"8/25/15",12:00:00,"11/21/15",15:39:00,"11/21/15","FELONY","QUEENS",40.75008876,-73.89100466
713249346,"8/10/15",14:00:00,"11/4/15",15:00:00,"11/21/15","FELONY","QUEENS",40.69843969,-73.83112954
492518693,"8/12/15",00:00:00,"11/11/15",04:00:00,"11/20/15","MISDEMEANOR","QUEENS",40.67998074,-73.77623391
943570106,"8/27/15",08:27:00,"11/19/15",09:40:00,"11/19/15","FELONY","QUEENS",40.78302077,-73.80425533
707673404,"8/27/15",08:27:00,"11/19/15",13:20:00,"11/19/15","FELONY","QUEENS",40.7685079,-73.77352487
103663649,"8/5/15",09:00:00,"11/18/15",22:00:00,"11/19/15","MISDEMEANOR","QUEENS",40.70456533,-73.74317881
344749323,"8/27/15",20:00:00,"11/13/15",15:00:00,"11/17/15","FELONY","QUEENS",40.69867719,-73.83024898
666316239,"8/24/15",19:00:00,"11/15/15",15:54:00,"11/16/15","FELONY","QUEENS",40.67837308,-73.77948046
882183310,"8/8/15",00:01:00,"10/6/15",17:00:00,"11/16/15","FELONY","QUEENS",40.76623191,-73.92749742
427757925,"8/25/15",11:40:00,"8/25/15",11:40:00,"11/14/15","FELONY","QUEENS",40.75901636,-73.93264902
544026835,"8/22/15",00:01:00,NA,NA,"11/12/15","FELONY","QUEENS",40.75885034,-73.72955242
447735917,"8/26/15",15:00:00,"11/10/15",19:00:00,"11/11/15","FELONY","QUEENS",40.769953,-73.87029989
340153981,"8/7/15",15:00:00,"8/7/15",15:30:00,"11/11/15","MISDEMEANOR","QUEENS",40.72894636,-73.75671961
700871299,"8/2/15",11:29:00,NA,NA,"11/11/15","MISDEMEANOR","QUEENS",40.67760528,-73.82821878
960281103,"8/16/15",23:00:00,"8/17/15",09:00:00,"11/10/15","FELONY","QUEENS",40.73934562,-73.81893709
224104288,"8/2/15",05:08:00,NA,NA,"11/10/15","MISDEMEANOR","QUEENS",40.67932493,-73.82551034
408338375,"8/20/15",15:00:00,NA,NA,"11/8/15","MISDEMEANOR","QUEENS",40.66128155,-73.73774426
141533333,"8/11/15",07:00:00,"8/22/15",23:00:00,"11/6/15","MISDEMEANOR","QUEENS",40.73140904,-73.89817575
942586066,"8/7/15",15:00:00,"11/6/15",10:00:00,"11/6/15","VIOLATION","QUEENS",40.59894946,-73.77652707
458266856,"8/4/15",07:00:00,"11/2/15",11:00:00,"11/6/15","FELONY","QUEENS",40.7296898,-73.87485947
838014589,"8/27/15",16:30:00,"10/30/15",08:30:00,"11/5/15","MISDEMEANOR","QUEENS",40.74814196,-73.94339697
194611609,"8/27/15",12:00:00,"11/3/15",15:00:00,"11/5/15","FELONY","QUEENS",40.59646293,-73.77246641
234474331,"8/14/15",09:00:00,NA,NA,"11/4/15","FELONY","QUEENS",40.69158549,-73.79530681
958836903,"8/26/15",13:30:00,"10/31/15",10:30:00,"11/3/15","MISDEMEANOR","QUEENS",40.74620007,-73.89766954
836274569,"8/19/15",21:44:00,"11/3/15",16:22:00,"11/3/15","MISDEMEANOR","QUEENS",40.6830068,-73.74893337
220677095,"8/13/15",17:30:00,"9/23/15",17:30:00,"11/3/15","FELONY","QUEENS",40.73837943,-73.86258135
136244535,"8/7/15",12:30:00,"11/3/15",20:00:00,"11/3/15","MISDEMEANOR","QUEENS",40.67412605,-73.84446854
