"CMPLNT_NUM","CMPLNT_FR_DT","CMPLNT_FR_TM","CMPLNT_TO_DT","CMPLNT_TO_TM","RPT_DT","LAW_CAT_CD","BORO_NM","Latitude","Longitude"
223731218,"4/12/15",01:52:00,"4/12/15",02:22:00,"12/9/15","MISDEMEANOR","STATEN ISLAND",40.64273536,-74.07866635
750536653,"4/1/15",00:01:00,"12/7/15",11:30:00,"12/7/15","FELONY","STATEN ISLAND",40.63544472,-74.12043776
304764454,"4/1/15",09:00:00,"10/15/15",10:00:00,"10/15/15","VIOLATION","STATEN ISLAND",40.63027316,-74.13321797
750147332,"4/14/15",12:00:00,NA,NA,"10/13/15","MISDEMEANOR","STATEN ISLAND",40.60507392,-74.13493594
108655773,"4/15/15",15:00:00,"9/2/15",15:00:00,"10/2/15","MISDEMEANOR","STATEN ISLAND",40.62384889,-74.08197986
184798508,"4/11/15",15:00:00,"4/11/15",15:30:00,"10/1/15","FELONY","STATEN ISLAND",40.63384839,-74.15191686
109308289,"4/23/15",12:00:00,"9/18/15",18:00:00,"9/19/15","MISDEMEANOR","STATEN ISLAND",40.62764766,-74.11957709
440366531,"4/1/15",00:00:00,"8/10/15",14:00:00,"9/4/15","MISDEMEANOR","STATEN ISLAND",40.60719257,-74.14856448
379867965,"4/15/15",18:00:00,NA,NA,"8/26/15","VIOLATION","STATEN ISLAND",40.61019034,-74.15850078
767841712,"4/1/15",21:00:00,"8/6/15",02:45:00,"8/6/15","MISDEMEANOR","STATEN ISLAND",40.59354216,-74.1611618
172168226,"4/10/15",15:00:00,"4/26/15",20:00:00,"8/1/15","MISDEMEANOR","STATEN ISLAND",40.62976169,-74.08124497
337708054,"4/29/15",09:00:00,"6/23/15",00:01:00,"7/29/15","FELONY","STATEN ISLAND",40.604929,-74.09939061
932688097,"4/21/15",11:00:00,NA,NA,"7/21/15","MISDEMEANOR","STATEN ISLAND",40.56132438,-74.12278382
225844788,"4/1/15",01:00:00,"4/30/15",00:11:00,"7/15/15","MISDEMEANOR","STATEN ISLAND",40.62442719,-74.13977703
478609523,"4/30/15",15:49:00,NA,NA,"7/13/15","FELONY","STATEN ISLAND",40.53930414,-74.14511439
919735763,"4/26/15",00:01:00,"7/8/15",13:00:00,"7/8/15","FELONY","STATEN ISLAND",40.57414013,-74.10600777
360818473,"4/14/15",12:00:00,"6/27/15",18:00:00,"7/7/15","FELONY","STATEN ISLAND",40.6214156,-74.08007851
570948919,"4/6/15",18:00:00,"7/6/15",15:00:00,"7/6/15","VIOLATION","STATEN ISLAND",40.5824347,-74.09694146
522892196,"4/18/15",14:00:00,"5/15/15",14:00:00,"7/3/15","MISDEMEANOR","STATEN ISLAND",40.55415621,-74.21518237
750481360,"4/26/15",12:00:00,"5/16/15",12:00:00,"6/24/15","FELONY","STATEN ISLAND",40.61048215,-74.07324753
561188460,"4/23/15",07:50:00,"6/23/15",15:00:00,"6/23/15","MISDEMEANOR","STATEN ISLAND",40.63049545,-74.13790192
937471949,"4/21/15",15:00:00,NA,NA,"6/23/15","MISDEMEANOR","STATEN ISLAND",40.59207281,-74.07321293
379812952,"4/22/15",17:00:00,"6/17/15",11:30:00,"6/17/15","MISDEMEANOR","STATEN ISLAND",40.63666626,-74.14850399
946497570,"4/15/15",07:00:00,"6/15/15",08:00:00,"6/16/15","FELONY","STATEN ISLAND",40.63387806,-74.13236407
891425401,"4/25/15",00:15:00,"4/25/15",00:17:00,"6/15/15","MISDEMEANOR","STATEN ISLAND",40.63790254,-74.08151791
171256461,"4/11/15",07:05:00,"4/11/15",19:35:00,"6/15/15","FELONY","STATEN ISLAND",40.61918369,-74.12884091
597491445,"4/15/15",12:00:00,NA,NA,"6/14/15","MISDEMEANOR","STATEN ISLAND",40.52269458,-74.23368425
935820569,"4/3/15",08:00:00,NA,NA,"6/13/15","FELONY","STATEN ISLAND",40.61863534,-74.12581412
290966266,"4/1/15",20:00:00,"6/5/15",22:00:00,"6/11/15","MISDEMEANOR","STATEN ISLAND",40.63702273,-74.15088641
225815308,"4/1/15",20:00:00,"6/5/15",22:00:00,"6/11/15","MISDEMEANOR","STATEN ISLAND",40.63684991,-74.15896044
472869695,"4/26/15",17:22:00,"6/9/15",08:20:00,"6/9/15","MISDEMEANOR","STATEN ISLAND",40.57890382,-74.10136064
967439843,"4/18/15",13:00:00,NA,NA,"6/9/15","MISDEMEANOR","STATEN ISLAND",40.53683879,-74.24027426
530238400,"4/15/15",12:00:00,NA,NA,"6/9/15","MISDEMEANOR","STATEN ISLAND",40.63833531,-74.16448397
453746299,"4/10/15",12:00:00,NA,NA,"6/7/15","FELONY","STATEN ISLAND",40.61174763,-74.12673037
158672781,"4/30/15",00:01:00,"5/29/15",16:00:00,"6/2/15","MISDEMEANOR","STATEN ISLAND",40.62211817,-74.08406343
636581937,"4/6/15",17:44:00,"5/29/15",14:10:00,"5/30/15","MISDEMEANOR","STATEN ISLAND",40.56585226,-74.11587445
247720241,"4/28/15",12:16:00,"4/28/15",12:19:00,"5/28/15","MISDEMEANOR","STATEN ISLAND",40.57817568,-74.16952684
333773147,"4/28/15",12:00:00,NA,NA,"5/28/15","FELONY","STATEN ISLAND",40.55812945,-74.16637021
610274187,"4/11/15",10:34:00,"4/11/15",10:41:00,"5/28/15","MISDEMEANOR","STATEN ISLAND",40.57580374,-74.1698124
547004794,"4/29/15",12:00:00,NA,NA,"5/26/15","FELONY","STATEN ISLAND",40.59910685,-74.06558291
609945275,"4/30/15",15:00:00,NA,NA,"5/23/15","MISDEMEANOR","STATEN ISLAND",40.54954604,-74.15073565
627713525,"4/12/15",13:00:00,NA,NA,"5/23/15","MISDEMEANOR","STATEN ISLAND",40.58122854,-74.09170885
683853754,"4/6/15",09:00:00,NA,NA,"5/20/15","FELONY","STATEN ISLAND",40.55080061,-74.15874493
823524705,"4/5/15",12:00:00,NA,NA,"5/19/15","MISDEMEANOR","STATEN ISLAND",40.57877936,-74.11406813
834164643,"4/29/15",13:30:00,"5/8/15",15:00:00,"5/16/15","FELONY","STATEN ISLAND",40.60632872,-74.0650426
404775358,"4/5/15",09:00:00,"4/7/15",09:00:00,"5/15/15","FELONY","STATEN ISLAND",40.63645699,-74.13098563
952914726,"4/30/15",17:00:00,"5/5/15",07:00:00,"5/14/15","MISDEMEANOR","STATEN ISLAND",40.63310654,-74.08644794
307615326,"4/25/15",08:00:00,NA,NA,"5/14/15","FELONY","STATEN ISLAND",40.53625697,-74.15590424
246421902,"4/22/15",19:30:00,"5/13/15",19:30:00,"5/14/15","MISDEMEANOR","STATEN ISLAND",40.62617966,-74.1340888
330133675,"4/21/15",18:30:00,NA,NA,"5/14/15","MISDEMEANOR","STATEN ISLAND",40.60889096,-74.15323585
420669618,"4/1/15",20:30:00,NA,NA,"5/14/15","MISDEMEANOR","STATEN ISLAND",40.56047084,-74.10909195
356513179,"4/20/15",19:53:00,"5/2/15",12:00:00,"5/13/15","MISDEMEANOR","STATEN ISLAND",40.61818453,-74.15551206
950860725,"4/30/15",12:00:00,"5/1/15",16:00:00,"5/12/15","FELONY","STATEN ISLAND",40.62322682,-74.14922697
933546110,"4/19/15",22:00:00,NA,NA,"5/11/15","MISDEMEANOR","STATEN ISLAND",40.61471139,-74.11962595
511102587,"4/18/15",10:00:00,"4/18/15",17:00:00,"5/11/15","MISDEMEANOR","STATEN ISLAND",40.61471139,-74.11962595
537213026,"4/2/15",08:30:00,"5/11/15",21:30:00,"5/11/15","MISDEMEANOR","STATEN ISLAND",40.64833528,-74.08556676
618569529,"4/1/15",00:01:00,"5/10/15",16:00:00,"5/11/15","FELONY","STATEN ISLAND",40.57414013,-74.10600777
357467365,"4/20/15",17:00:00,NA,NA,"5/10/15","FELONY","STATEN ISLAND",40.58191137,-74.10220762
607166393,"4/19/15",03:00:00,"4/19/15",04:00:00,"5/10/15","VIOLATION","STATEN ISLAND",40.5631303,-74.10035056
287167287,"4/18/15",07:00:00,"4/18/15",07:02:00,"5/9/15","VIOLATION","STATEN ISLAND",40.63881218,-74.08747142
998308999,"4/30/15",07:00:00,"5/6/15",17:41:00,"5/8/15","MISDEMEANOR","STATEN ISLAND",40.58365103,-74.15018259
357864963,"4/29/15",06:30:00,"4/29/15",06:45:00,"5/8/15","MISDEMEANOR","STATEN ISLAND",40.62726141,-74.08093572
474702881,"4/25/15",13:00:00,NA,NA,"5/8/15","MISDEMEANOR","STATEN ISLAND",40.62912102,-74.11477743
393149474,"4/14/15",14:00:00,NA,NA,"5/8/15","MISDEMEANOR","STATEN ISLAND",40.61058998,-74.08029242
702389318,"4/8/15",12:00:00,"5/8/15",19:55:00,"5/8/15","FELONY","STATEN ISLAND",40.63233188,-74.09423979
103814478,"4/30/15",22:30:00,NA,NA,"5/7/15","MISDEMEANOR","STATEN ISLAND",40.58423296,-74.1027908
591439160,"4/30/15",22:10:00,NA,NA,"5/7/15","MISDEMEANOR","STATEN ISLAND",40.59606413,-74.08829043
708190513,"4/30/15",21:55:00,NA,NA,"5/7/15","MISDEMEANOR","STATEN ISLAND",40.60416464,-74.08381035
478726221,"4/30/15",11:30:00,"5/7/15",12:30:00,"5/7/15","MISDEMEANOR","STATEN ISLAND",40.61559274,-74.07358451
742940293,"4/22/15",08:00:00,"5/7/15",15:00:00,"5/7/15","MISDEMEANOR","STATEN ISLAND",40.54024889,-74.19155374
762618090,"4/20/15",23:50:00,"5/7/15",11:45:00,"5/7/15","MISDEMEANOR","STATEN ISLAND",40.61293531,-74.06527594
287703458,"4/15/15",00:00:00,"4/24/15",23:59:00,"5/7/15","FELONY","STATEN ISLAND",40.59054446,-74.1614282
568826085,"4/10/15",11:00:00,"5/7/15",01:15:00,"5/7/15","MISDEMEANOR","STATEN ISLAND",40.55483198,-74.17440852
